word,synonyms,antonyms
abundant,plentiful; ample; copious,scarce; limited; meagre
accurate,precise; exact; correct,inaccurate; wrong; faulty
adapt,adjust; modify; alter,resist; preserve; maintain
adequate,sufficient; enough; satisfactory,inadequate; insufficient; lacking
adverse,unfavourable; harmful; negative,favourable; beneficial; helpful
advocate,support; recommend; promote,oppose; discourage; reject
agile,nimble; quick; flexible,clumsy; slow; awkward
ambitious,aspiring; driven; determined,unmotivated; lazy; indifferent
ample,plenty; abundant; sufficient,scarce; insufficient; meagre
anxious,worried; uneasy; concerned,calm; relaxed; confident
apparent,obvious; clear; evident,hidden; unclear; obscure
appreciate,value; recognise; admire,ignore; undervalue; disregard
arrogant,conceited; proud; haughty,humble; modest; meek
assess,evaluate; judge; analyse,ignore; overlook; neglect
astonish,amaze; surprise; shock,bore; disappoint; calm
attentive,observant; alert; watchful,inattentive; careless; distracted
authentic,genuine; real; original,fake; false; counterfeit
beneficial,helpful; advantageous; useful,harmful; damaging; detrimental
brisk,quick; lively; energetic,slow; sluggish; lethargic
cautious,careful; wary; prudent,reckless; careless; rash
cease,stop; halt; end,continue; begin; persist
clarify,explain; simplify; make clear,confuse; obscure; complicate
coherent,logical; clear; organised,confused; illogical; unclear
compassion,kindness; sympathy; empathy,cruelty; indifference; harshness
competent,capable; skilled; able,incompetent; unskilled; incapable
complex,complicated; intricate; detailed,simple; easy; basic
conceal,hide; cover; disguise,reveal; expose; uncover
confident,assured; self-assured; certain,insecure; doubtful; unsure
consequence,result; outcome; effect,cause; origin; beginning
consider,think; reflect; examine,ignore; dismiss; overlook
consistent,steady; reliable; uniform,inconsistent; irregular; unreliable
construct,build; create; form,destroy; demolish; dismantle
contemplate,consider; think; reflect,ignore; disregard; dismiss
convey,communicate; express; transmit,withhold; conceal; suppress
courteous,polite; respectful; well-mannered,rude; impolite; discourteous
credible,believable; trustworthy; convincing,unbelievable; doubtful; unreliable
crucial,vital; essential; important,trivial; minor; unimportant
curious,inquisitive; interested; eager,indifferent; uninterested; apathetic
decline,decrease; fall; reduce,increase; rise; grow
dedicated,committed; devoted; loyal,uncommitted; indifferent; careless
deliberate,intentional; planned; careful,accidental; spontaneous; careless
dense,thick; compact; crowded,sparse; thin; light
dependable,reliable; trustworthy; steady,unreliable; inconsistent; uncertain
describe,explain; depict; outline,omit; conceal; ignore
diligent,hardworking; careful; industrious,lazy; careless; negligent
distinct,clear; separate; different,similar; vague; unclear
diverse,varied; different; assorted,uniform; similar; alike
dominate,control; rule; command,submit; obey; yield
efficient,productive; effective; capable,inefficient; wasteful; ineffective
elaborate,detailed; thorough; complex,simple; brief; plain
emerge,appear; arise; surface,disappear; vanish; sink
encourage,support; motivate; inspire,discourage; deter; dissuade
endure,last; persist; withstand,cease; stop; surrender
enhance,improve; boost; strengthen,reduce; weaken; diminish
enormous,huge; vast; immense,tiny; small; minute
essential,necessary; vital; crucial,unnecessary; trivial; optional
evident,clear; obvious; apparent,hidden; unclear; obscure
examine,inspect; analyse; study,ignore; overlook; neglect
exceptional,outstanding; remarkable; excellent,ordinary; average; mediocre
expand,grow; increase; extend,shrink; reduce; contract
explicit,clear; direct; definite,vague; unclear; implicit
familiar,well-known; recognised; common,unfamiliar; unknown; strange
flexible,adaptable; bendable; adjustable,rigid; inflexible; stiff
fortunate,lucky; blessed; advantaged,unlucky; unfortunate; unlucky
frequent,common; regular; repeated,rare; uncommon; infrequent
generous,giving; kind; charitable,selfish; stingy; mean
genuine,real; authentic; sincere,fake; false; artificial
gradual,slow; steady; progressive,sudden; rapid; abrupt
hostile,unfriendly; aggressive; antagonistic,friendly; kind; welcoming
identify,recognise; detect; discover,ignore; overlook; miss
illustrate,explain; demonstrate; show,confuse; obscure; hide
immediate,instant; prompt; quick,delayed; slow; postponed
impact,effect; influence; consequence,cause; origin; source
imply,suggest; hint; indicate,state; declare; explain
improve,enhance; develop; advance,worsen; decline; deteriorate
indicate,show; point out; signal,hide; conceal; obscure
inevitable,unavoidable; certain; inescapable,avoidable; uncertain; unlikely
infer,deduce; conclude; reason,guess; misunderstand; misinterpret
innovative,creative; original; inventive,unoriginal; conventional; traditional
insist,demand; maintain; persist,yield; agree; concede
intense,strong; extreme; powerful,mild; weak; gentle
interpret,explain; understand; analyse,misunderstand; confuse; distort
justify,defend; explain; support,condemn; criticise; oppose
keen,eager; enthusiastic; sharp,uninterested; dull; indifferent
logical,reasonable; rational; sensible,illogical; irrational; unreasonable
maintain,preserve; sustain; continue,neglect; abandon; discontinue
major,important; significant; main,minor; trivial; insignificant
method,system; procedure; approach,randomness; chaos; disorder
modify,change; adjust; alter,maintain; preserve; keep
notable,remarkable; significant; important,ordinary; unremarkable; trivial
numerous,many; plentiful; abundant,few; scarce; limited
observe,notice; watch; monitor,ignore; overlook; disregard
obtain,get; acquire; gain,lose; forfeit; surrender
obvious,clear; evident; apparent,hidden; unclear; obscure
